epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6826,1.51292,1.89784,1.55584,0.01893,0.47059,0.01537,0.00627,nan,nan,nan,0.000660194,0.000660194,0.000660194
2,51.9917,1.75257,1.92549,1.755,0.18628,0.25147,0.10789,0.04215,2.31157,5.3519,2.87563,0.00131372,0.00131372,0.00131372
3,74.1626,1.84391,2.04124,1.78124,0.22526,0.23676,0.14746,0.05378,2.15397,2.86812,2.21195,0.00195406,0.00195406,0.00195406
4,96.4342,1.83087,2.0573,1.7799,0.21506,0.22794,0.14467,0.05626,2.19675,2.48902,2.32871,0.0019406,0.0019406,0.0019406
5,118.814,1.79542,1.98464,1.77537,0.24867,0.27452,0.1775,0.07429,2.02055,2.40746,1.98743,0.0019208,0.0019208,0.0019208
6,141.014,1.74931,1.93091,1.73347,0.2891,0.30735,0.20722,0.08646,2.02829,2.20573,1.96763,0.001901,0.001901,0.001901
7,162.963,1.70724,1.91134,1.71461,0.32703,0.27206,0.18325,0.07965,2.07912,2.26544,2.0549,0.0018812,0.0018812,0.0018812
8,185.056,1.72369,1.89183,1.71196,0.27766,0.27206,0.18609,0.08948,1.97057,2.19939,1.92863,0.0018614,0.0018614,0.0018614
9,206.916,1.67151,1.84035,1.65895,0.36957,0.27206,0.23748,0.10939,2.02504,2.17839,2.00385,0.0018416,0.0018416,0.0018416
10,229.12,1.66175,1.83907,1.6693,0.19538,0.16765,0.09913,0.03732,2.55267,2.66132,2.48004,0.0018218,0.0018218,0.0018218
11,251.424,1.62202,1.80924,1.62296,0.26561,0.19853,0.13297,0.05758,2.49515,2.74874,3.14826,0.001802,0.001802,0.001802
12,273.62,1.59871,1.76296,1.61034,0.39557,0.40588,0.35327,0.16927,1.72926,1.9101,1.74205,0.0017822,0.0017822,0.0017822
13,295.456,1.60951,1.76547,1.61813,0.43568,0.3565,0.3571,0.17749,1.76714,1.95437,1.82831,0.0017624,0.0017624,0.0017624
14,317.5,1.55242,1.69764,1.57396,0.46529,0.37647,0.3458,0.1758,1.74359,1.8808,1.82608,0.0017426,0.0017426,0.0017426
15,339.177,1.55238,1.70162,1.59699,0.51019,0.39559,0.42044,0.21913,1.68314,1.86792,1.69856,0.0017228,0.0017228,0.0017228
16,361.831,1.51281,1.68164,1.56816,0.53936,0.38676,0.41716,0.2225,1.60156,1.75292,1.67981,0.001703,0.001703,0.001703
17,385.006,1.48151,1.64413,1.54789,0.48485,0.42768,0.41728,0.2233,1.6416,1.76896,1.67919,0.0016832,0.0016832,0.0016832
18,408.121,1.47288,1.61482,1.55297,0.49431,0.42353,0.41556,0.21596,1.63357,1.70924,1.70512,0.0016634,0.0016634,0.0016634
19,432.247,1.49154,1.6339,1.55249,0.5014,0.44412,0.42652,0.2236,1.66395,1.74454,1.66929,0.0016436,0.0016436,0.0016436
20,454.479,1.43558,1.59404,1.50943,0.61297,0.39827,0.43409,0.22667,1.58888,1.73173,1.65615,0.0016238,0.0016238,0.0016238
21,476.428,1.4884,1.67717,1.55216,0.50012,0.44559,0.43384,0.23903,1.54207,1.75137,1.6295,0.001604,0.001604,0.001604
22,498.463,1.39972,1.54526,1.49957,0.49153,0.39118,0.41206,0.21976,1.61751,1.82031,1.69091,0.0015842,0.0015842,0.0015842
23,520.194,1.44622,1.587,1.52644,0.50237,0.40381,0.41327,0.21486,1.64063,1.78396,1.67768,0.0015644,0.0015644,0.0015644
24,542.459,1.43163,1.53396,1.51871,0.51485,0.425,0.44442,0.25495,1.49066,1.64946,1.61822,0.0015446,0.0015446,0.0015446
25,564.938,1.42228,1.52967,1.49457,0.54672,0.46324,0.46981,0.2685,1.47067,1.57037,1.5275,0.0015248,0.0015248,0.0015248
